State,Demography value,Metric,Jan-2015,Feb-2015,Mar-2015,Apr-2015,May-2015,Jun-2015,Jul-2015,Aug-2015,Sep-2015,Oct-2015,Nov-2015,Dec-2015,Jan-2016,Feb-2016,Mar-2016,Apr-2016,May-2016,Jun-2016,Jul-2016,Aug-2016,Sep-2016,Oct-2016,Nov-2016,Dec-2016,Jan-2017,Feb-2017,Mar-2017,Apr-2017,May-2017,Jun-2017,Jul-2017,Aug-2017,Sep-2017,Oct-2017,Nov-2017,Dec-2017,Jan-2018,Feb-2018,Mar-2018,Apr-2018,May-2018,Jun-2018,Jul-2018,Aug-2018,Sep-2018,Oct-2018,Nov-2018,Dec-2018,Jan-2019,Feb-2019,Mar-2019,Apr-2019,May-2019,Jun-2019,Jul-2019,Aug-2019,Sep-2019,Oct-2019,Nov-2019,Dec-2019,Jan-2020,Feb-2020,Mar-2020,Apr-2020,May-2020,Jun-2020,Jul-2020,Aug-2020,Sep-2020,Oct-2020,Nov-2020,Dec-2020,Jan-2021,Feb-2021,Mar-2021,Apr-2021,May-2021,Jun-2021,Jul-2021,Aug-2021,Sep-2021,Oct-2021,Nov-2021,Dec-2021,Jan-2022,Feb-2022,Mar-2022,Apr-2022,May-2022,Jun-2022,Jul-2022,Aug-2022,Sep-2022,Oct-2022,Nov-2022,Dec-2022,Jan-2023,Feb-2023,Mar-2023,Apr-2023,May-2023,Jun-2023,Jul-2023,Aug-2023,Sep-2023,Oct-2023,Nov-2023,Dec-2023,Jan-2024,Feb-2024,Mar-2024,Apr-2024,May-2024,Jun-2024,Jul-2024,Aug-2024,Sep-2024,Oct-2024,Nov-2024,Dec-2024,Jan-2025,Feb-2025,Mar-2025,Apr-2025,May-2025,Jun-2025
NSW,0-15,Bulk-billing rate,92.05%,92.22%,92.49%,92.83%,92.78%,92.70%,92.56%,92.62%,92.63%,92.70%,92.69%,92.65%,92.89%,92.87%,92.91%,93.24%,93.31%,93.18%,93.10%,93.01%,92.86%,93.17%,93.04%,92.79%,92.85%,92.95%,92.93%,93.64%,93.36%,93.30%,93.41%,93.30%,93.24%,93.26%,93.21%,92.98%,93.12%,93.22%,93.34%,93.84%,94.36%,94.03%,93.79%,93.40%,93.43%,93.32%,93.36%,93.23%,93.33%,93.45%,93.58%,94.02%,94.57%,94.38%,93.79%,93.32%,93.30%,93.34%,93.33%,93.09%,92.89%,93.04%,94.07%,97.35%,96.61%,96.16%,95.48%,95.53%,95.17%,94.43%,94.51%,94.16%,93.96%,94.11%,94.11%,94.52%,94.54%,94.52%,93.72%,93.75%,95.79%,96.14%,94.52%,94.12%,96.31%,94.50%,95.17%,94.61%,94.41%,94.25%,92.99%,92.23%,91.82%,91.39%,91.26%,90.81%,90.06%,90.13%,90.27%,90.68%,90.98%,90.57%,90.04%,89.59%,89.65%,89.26%,90.52%,90.02%,90.06%,90.71%,90.83%,91.32%,91.96%,91.82%,91.74%,91.25%,91.42%,91.37%,91.32%,90.96%,90.96%,91.28%,91.32%,92.20%,92.43%,92.17%
NSW,0-15,Bulk-billed services,"407,966","469,620","557,923","484,720","606,105","610,483","603,147","705,498","581,355","514,399","527,569","429,796","405,775","534,486","545,713","519,275","611,354","561,877","527,015","678,309","584,501","503,494","532,775","413,895","415,638","502,085","597,585","487,145","614,987","583,166","612,343","738,970","593,430","518,310","539,956","407,709","434,525","479,790","535,765","518,375","683,123","609,292","596,664","622,245","568,842","531,813","551,889","413,660","458,626","527,373","585,553","556,155","757,736","714,190","684,641","655,292","587,763","525,817","528,502","437,605","436,307","532,992","585,042","546,423","533,154","593,268","485,716","543,407","496,457","459,903","535,976","424,521","385,251","483,599","551,809","511,249","658,964","642,284","465,451","380,094","522,463","604,943","506,946","373,604","600,686","471,631","693,161","491,522","754,978","769,778","561,254","616,469","527,019","493,303","533,347","378,890","360,103","432,911","527,448","436,434","625,232","578,737","521,932","571,902","498,395","448,047","475,875","357,363","385,190","466,533","511,218","532,592","671,514","626,266","602,606","577,404","531,932","466,012","477,887","373,037","375,691","441,889","507,830","478,807","576,898","536,977"
NSW,16-64,Bulk-billing rate,85.14%,85.10%,85.70%,86.46%,86.28%,85.98%,85.70%,85.76%,85.85%,85.97%,86.00%,85.88%,86.19%,85.98%,86.33%,86.81%,86.58%,86.36%,86.18%,86.00%,85.99%,86.29%,86.07%,85.82%,85.82%,86.03%,86.32%,87.24%,86.56%,86.38%,86.57%,86.18%,86.22%,86.36%,86.28%,85.96%,86.00%,86.28%,86.61%,86.96%,87.14%,86.76%,86.74%,86.27%,86.57%,86.25%,86.17%,86.10%,85.99%,86.13%,86.38%,86.86%,87.06%,86.70%,86.08%,85.80%,85.84%,85.61%,85.77%,85.38%,85.26%,85.28%,87.62%,93.91%,92.07%,90.90%,90.43%,90.31%,89.69%,88.50%,88.12%,88.13%,88.09%,87.37%,87.52%,88.12%,88.29%,88.43%,89.97%,92.40%,92.27%,90.77%,87.71%,88.20%,89.98%,88.09%,86.96%,87.02%,86.28%,86.07%,85.07%,82.86%,82.03%,80.87%,80.40%,80.07%,78.26%,77.85%,77.94%,78.77%,78.49%,77.61%,76.70%,76.25%,76.24%,75.21%,75.77%,75.99%,75.16%,75.52%,76.07%,76.45%,77.01%,76.66%,76.05%,75.95%,76.01%,75.86%,75.67%,75.74%,74.98%,75.44%,75.83%,77.14%,77.28%,77.13%
NSW,16-64,Bulk-billed services,"1,752,804","1,854,849","2,094,532","1,921,466","2,070,934","2,007,894","2,079,382","2,114,958","2,034,740","1,989,498","1,975,430","1,742,563","1,753,812","2,037,294","2,060,697","2,066,870","2,230,246","2,012,789","1,968,091","2,253,013","2,073,715","1,974,172","2,077,412","1,749,601","1,843,996","1,965,922","2,275,291","1,839,717","2,307,765","2,051,626","2,120,383","2,351,686","2,089,094","2,073,025","2,124,753","1,729,829","1,955,357","2,018,014","2,178,133","2,050,129","2,444,982","2,061,820","2,149,138","2,258,486","2,040,286","2,172,183","2,160,182","1,745,886","2,000,144","2,070,575","2,231,832","2,052,410","2,501,024","2,100,943","2,289,188","2,239,028","2,114,845","2,155,284","2,087,195","1,806,729","1,978,763","2,048,844","2,380,352","2,463,727","2,415,612","2,420,174","2,529,357","2,384,162","2,380,354","2,285,719","2,281,109","2,048,646","2,032,901","2,191,751","2,487,162","2,254,371","2,539,893","2,495,515","2,822,645","3,690,557","3,581,080","2,995,920","2,471,019","2,131,023","2,464,415","2,424,107","2,492,048","2,018,755","2,503,317","2,355,758","2,243,373","2,309,892","2,032,760","1,950,516","2,061,478","1,681,200","1,701,332","1,815,270","2,089,309","1,682,484","2,201,268","1,910,508","1,847,485","1,999,019","1,803,164","1,787,638","1,853,287","1,497,923","1,679,370","1,813,783","1,792,086","1,796,557","2,092,601","1,768,922","1,981,578","1,932,561","1,825,524","1,874,122","1,821,371","1,541,534","1,686,296","1,789,184","1,912,523","1,778,707","2,064,388","1,860,860"
NSW,65+,Bulk-billing rate,91.37%,91.25%,91.50%,92.39%,91.73%,91.51%,91.47%,91.34%,91.41%,91.43%,91.39%,91.45%,91.54%,91.32%,91.58%,92.36%,91.64%,91.52%,91.31%,91.14%,91.20%,91.14%,91.07%,91.12%,91.11%,91.20%,91.41%,92.31%,91.49%,91.33%,91.28%,91.02%,91.14%,91.00%,91.09%,91.05%,91.20%,91.22%,91.36%,91.88%,92.08%,91.39%,91.24%,91.19%,91.30%,91.11%,91.00%,91.03%,91.19%,91.14%,91.24%,91.77%,92.11%,91.22%,90.95%,90.89%,90.91%,90.75%,90.72%,90.58%,90.75%,90.31%,91.81%,96.10%,94.81%,93.80%,93.62%,93.58%,93.28%,92.46%,92.14%,92.30%,92.48%,91.92%,92.33%,93.75%,93.37%,93.42%,94.38%,94.43%,93.82%,92.93%,92.00%,92.64%,93.75%,92.38%,91.59%,92.87%,92.76%,91.90%,90.91%,89.71%,89.09%,88.30%,87.93%,87.95%,86.82%,86.76%,87.29%,88.80%,87.76%,86.78%,86.13%,85.76%,85.92%,85.36%,87.38%,88.06%,87.95%,87.78%,88.05%,89.19%,89.26%,88.60%,88.24%,88.07%,88.23%,88.10%,87.89%,88.07%,88.19%,88.08%,88.44%,89.88%,89.58%,89.10%
NSW,65+,Bulk-billed services,"958,875","994,988","1,115,197","1,195,949","1,100,111","1,035,239","1,074,695","1,043,603","1,059,137","1,066,853","1,057,031","992,362","945,015","1,095,660","1,104,304","1,265,956","1,212,494","1,051,954","1,012,748","1,149,411","1,093,448","1,061,066","1,153,616","1,000,070","1,025,676","1,085,412","1,251,473","1,167,722","1,301,235","1,104,977","1,098,420","1,207,882","1,121,059","1,150,546","1,189,617","992,859","1,116,814","1,120,441","1,184,905","1,220,285","1,502,135","1,102,143","1,156,896","1,219,583","1,101,929","1,216,422","1,218,608","1,018,312","1,150,374","1,172,605","1,221,307","1,250,627","1,564,523","1,100,450","1,238,353","1,213,699","1,164,230","1,246,189","1,192,356","1,066,551","1,162,290","1,167,438","1,307,730","1,723,672","1,403,179","1,345,439","1,400,669","1,311,963","1,367,730","1,324,741","1,331,127","1,260,034","1,204,224","1,301,065","1,546,623","1,727,960","1,729,794","1,640,325","1,791,675","1,731,267","1,597,067","1,454,788","1,466,145","1,376,700","1,505,208","1,435,976","1,481,340","1,489,434","1,847,207","1,495,315","1,377,292","1,452,768","1,304,729","1,272,184","1,386,377","1,189,703","1,201,688","1,282,549","1,508,069","1,424,664","1,645,758","1,313,991","1,252,937","1,355,613","1,247,213","1,274,614","1,405,029","1,204,744","1,354,537","1,405,371","1,353,058","1,519,612","1,667,889","1,309,332","1,453,673","1,419,926","1,347,047","1,427,718","1,385,712","1,231,862","1,327,690","1,377,556","1,444,498","1,532,409","1,651,759","1,416,645"
VIC,0-15,Bulk-billing rate,89.24%,89.31%,89.53%,90.14%,89.98%,89.91%,89.69%,89.70%,89.82%,89.92%,90.18%,89.93%,90.51%,90.50%,90.71%,91.03%,90.83%,90.83%,90.61%,90.66%,90.83%,90.81%,90.69%,90.32%,90.59%,90.71%,90.73%,91.29%,90.98%,90.91%,90.88%,90.87%,90.95%,91.00%,91.13%,90.84%,90.89%,90.94%,91.05%,91.49%,92.27%,91.78%,91.35%,91.05%,91.31%,91.22%,91.24%,90.86%,91.07%,91.28%,91.35%,91.98%,92.93%,92.61%,91.76%,91.13%,91.28%,91.23%,91.23%,90.98%,90.97%,90.92%,92.31%,97.10%,96.19%,95.10%,95.16%,95.30%,94.83%,93.33%,92.91%,92.55%,92.48%,92.59%,92.48%,92.82%,92.78%,92.44%,91.85%,91.97%,93.58%,94.76%,93.19%,92.63%,95.13%,92.72%,93.31%,92.81%,92.60%,91.96%,89.63%,88.94%,88.44%,87.71%,87.61%,86.84%,86.74%,86.95%,86.92%,87.48%,87.47%,86.90%,86.17%,86.12%,86.01%,85.85%,88.36%,88.19%,88.55%,88.94%,89.00%,89.82%,90.30%,89.77%,89.84%,89.42%,89.59%,89.79%,89.58%,89.45%,89.68%,89.84%,89.73%,90.69%,91.10%,90.66%
VIC,0-15,Bulk-billed services,"267,800","309,271","348,471","329,082","417,548","432,188","412,168","481,607","404,203","363,925","347,006","299,076","278,661","369,363","362,114","364,445","439,103","424,852","397,363","486,727","406,671","397,112","404,817","328,358","303,586","344,099","386,581","329,248","476,778","453,910","435,225","514,567","460,679","409,580","394,605","311,053","313,575","353,570","366,998","353,893","534,907","459,269","438,294","462,939","408,487","418,500","389,562","313,803","322,115","371,849","392,712","393,569","618,457","548,202","515,427","505,448","436,095","421,165","398,478","336,081","327,174","387,892","409,818","426,631","414,358","411,164","334,422","272,327","274,353","328,215","363,973","294,811","297,492","380,644","460,293","395,658","489,677","385,189","380,078","377,931","361,113","465,592","410,040","317,941","458,569","367,313","487,461","367,022","572,348","552,310","457,223","489,006","398,471","393,404","415,211","325,624","293,655","336,144","379,967","339,597","493,858","426,845","384,955","433,195","354,611","360,406","346,694","276,149","297,002","338,468","336,559","371,733","507,055","434,880","447,473","459,102","394,548","402,629","359,535","296,245","298,156","339,020","360,957","346,927","461,321","430,632"
VIC,16-64,Bulk-billing rate,80.06%,79.93%,80.72%,81.76%,81.36%,80.99%,80.39%,80.67%,80.81%,81.17%,81.22%,80.82%,81.57%,81.25%,81.75%,82.54%,82.01%,81.84%,81.60%,81.28%,81.53%,81.68%,81.68%,81.19%,81.60%,81.76%,81.96%,83.11%,82.28%,81.99%,82.00%,81.66%,81.88%,81.86%,81.95%,81.70%,81.75%,81.86%,82.27%,82.74%,83.16%,82.34%,82.10%,81.75%,82.18%,81.78%,81.93%,81.63%,81.74%,81.87%,82.28%,82.96%,83.26%,82.67%,81.80%,81.55%,81.68%,81.42%,81.67%,81.13%,81.45%,81.52%,84.58%,93.23%,91.32%,89.67%,90.69%,91.79%,90.64%,87.35%,86.09%,85.59%,85.77%,85.03%,85.01%,85.71%,86.21%,86.59%,86.21%,87.93%,88.93%,89.37%,85.94%,85.23%,87.63%,85.92%,83.96%,84.02%,83.77%,83.09%,81.86%,79.79%,78.57%,76.82%,76.09%,75.36%,73.84%,73.69%,73.57%,74.21%,73.93%,72.76%,71.82%,71.55%,71.30%,70.26%,70.46%,70.44%,70.12%,70.72%,71.05%,71.58%,71.99%,70.98%,70.22%,70.32%,70.57%,70.39%,70.33%,70.14%,69.92%,70.70%,70.89%,72.13%,72.51%,71.95%
VIC,16-64,Bulk-billed services,"1,255,647","1,332,826","1,478,422","1,467,064","1,532,106","1,497,033","1,533,413","1,568,129","1,510,481","1,478,756","1,420,442","1,302,240","1,298,186","1,506,069","1,487,741","1,589,133","1,685,174","1,530,297","1,499,076","1,691,729","1,517,979","1,557,297","1,578,126","1,363,184","1,388,903","1,463,550","1,652,503","1,417,628","1,805,251","1,586,840","1,600,370","1,762,909","1,585,510","1,653,503","1,575,039","1,343,971","1,483,547","1,524,900","1,606,656","1,577,072","1,914,347","1,567,405","1,646,741","1,739,484","1,513,704","1,737,746","1,615,638","1,365,726","1,512,726","1,562,970","1,659,200","1,613,873","1,995,416","1,641,746","1,780,627","1,755,046","1,615,816","1,762,517","1,603,138","1,435,487","1,549,649","1,616,259","1,836,875","2,011,814","2,011,218","1,991,272","2,126,724","1,953,466","1,971,651","1,930,033","1,837,209","1,704,803","1,681,435","1,792,961","2,024,757","1,917,720","2,165,854","2,068,504","2,131,659","2,578,455","2,635,004","2,850,329","2,104,248","1,772,639","2,015,789","2,067,972","2,052,524","1,696,293","2,121,678","1,933,993","1,877,151","1,933,432","1,627,559","1,653,353","1,642,254","1,394,919","1,381,432","1,473,429","1,660,325","1,390,422","1,830,231","1,555,375","1,514,397","1,635,640","1,407,660","1,515,509","1,435,191","1,224,107","1,352,743","1,450,510","1,399,154","1,479,801","1,727,096","1,407,257","1,576,041","1,571,254","1,416,359","1,587,139","1,420,336","1,257,663","1,367,844","1,455,813","1,514,341","1,455,296","1,722,491","1,532,780"
