NHSD_STATE,NHSD_SERVICE_TYPE
ACT,General practice service
NSW,General practice service
NT,General practice service
NSW,General practice service
WA,General practice service
VIC,General practice service
NSW,General practice service
SA,General practice service
VIC,General practice service
SA,General practice service
VIC,General practice service
VIC,General practice service
QLD,General practice service
NSW,General practice service
VIC,General practice service
VIC,General practice service
VIC,General practice service
QLD,General practice service
NSW,General practice service
SA,General practice service
NSW,General practice service
WA,General practice service
QLD,General practice service
NSW,General practice service
NSW,General practice service
SA,General practice service
QLD,General practice service
QLD,General practice service
VIC,General practice service
WA,General practice service
SA,General practice service
NSW,General practice service
SA,General practice service
NSW,General practice service
VIC,General practice service
NSW,General practice service
WA,General practice service
VIC,General practice service
VIC,General practice service
VIC,General practice service
QLD,General practice service
NSW,General practice service
NT,General practice service
NSW,General practice service
QLD,General practice service
NSW,General practice service
QLD,General practice service
NSW,General practice service
QLD,General practice service
VIC,General practice service
NSW,General practice service
WA,General practice service
NSW,General practice service
QLD,General practice service
QLD,General practice service
QLD,General practice service
NSW,General practice service
VIC,General practice service
NSW,General practice service
VIC,General practice service
NSW,General practice service
QLD,General practice service
NSW,General practice service
NSW,General practice service
NSW,General practice service
VIC,General practice service
NSW,General practice service
QLD,General practice service
NSW,General practice service
WA,General practice service
NSW,General practice service
NSW,General practice service
NSW,General practice service
QLD,General practice service
QLD,General practice service
VIC,General practice service
QLD,General practice service
SA,General practice service
VIC,General practice service
VIC,General practice service
VIC,General practice service
VIC,General practice service
QLD,General practice service
NSW,General practice service
NSW,General practice service
QLD,General practice service
NSW,General practice service
SA,General practice service
WA,General practice service
NSW,General practice service
QLD,General practice service
NSW,General practice service
WA,General practice service
NSW,General practice service
SA,General practice service
VIC,General practice service
QLD,General practice service
NSW,General practice service
NSW,General practice service
NSW,General practice service
VIC,General practice service
SA,General practice service
NSW,General practice service
QLD,General practice service
WA,General practice service
VIC,General practice service
WA,General practice service
NSW,General practice service
TAS,General practice service
NSW,General practice service
SA,General practice service
VIC,General practice service
QLD,General practice service
NSW,General practice service
VIC,General practice service
NSW,General practice service
VIC,General practice service
VIC,General practice service
WA,General practice service
QLD,General practice service
VIC,General practice service
TAS,General practice service
SA,General practice service
NSW,General practice service
QLD,General practice service
NSW,General practice service
NSW,General practice service
SA,General practice service
QLD,General practice service
VIC,General practice service
NSW,General practice service
QLD,General practice service
VIC,General practice service
NSW,General practice service
VIC,General practice service
WA,General practice service
VIC,General practice service
NSW,General practice service
VIC,General practice service
NSW,General practice service
QLD,General practice service
