OBJECTID,NHSD_OPERATIONALSTATUS,NHSD_ORGANISATION_NAME,NHSD_ADDRESS,NHSD_SUBURB,NHSD_STATE,NHSD_POSTCODE,NHSD_LONG,NHSD_LAT,NHSD_SERVICE_ID,NHSD_SERVICE_TYPE,GNAF_ADDRESS_DETAIL_PID,GA_CLASS,GA_SOURCE_DATE
1,active,Hughes Family Practice,3 Mcnicoll Street Hughes ACT 2605,Hughes,ACT,2605,149.0948639,-35.33414078,7cc86945-1604-8237-e618-b873d1069cb5,General practice service,GAACT716457727,GENERAL PRACTICE,2024-03-05
2,active,Lane Cove Doctors Surgery,65 Burns Bay Road Lane Cove NSW 2066,Lane Cove,NSW,2066,151.166153,-33.81455231,4f8d50dc-459e-ca13-c93a-dbad8f78ca12,General practice service,GANSW705185299,GENERAL PRACTICE,2024-03-05
3,active,Robinson River Community Health Centre,Robinson River Community Road Robinson River NT 0852,Robinson River,NT,852,136.9827728,-16.75852776,473b7b76-4eaf-0036-0070-201c11d3fde0,General practice service,,GENERAL PRACTICE,2024-03-05
4,active,Ochre Medical Centre Bonnells Bay,330 Fishery Point Road Bonnells Bay NSW 2264,Bonnells Bay,NSW,2264,151.5322571,-33.11066818,b57c34f6-5b3a-fde3-72e4-10daeb944b28,General practice service,GANSW711793028,GENERAL PRACTICE,2024-03-05
5,active,Okely Medical Group,56 Almadine Drive Carine WA 6020,Carine,WA,6020,115.7681961,-31.85340691,c8c7520a-eedf-ae5b-4f6d-4bda16376279,General practice service,GAWA_146550659,GENERAL PRACTICE,2024-03-05
6,active,MacLeod Medical Practice,78 Aberdeen Road Macleod VIC 3085,Macleod,VIC,3085,145.0709686,-37.72616196,d5774e49-c609-7094-a8a2-1cd82e390922,General practice service,GAVIC420477470,GENERAL PRACTICE,2024-03-05
7,active,Hill Street Health Hub,67 Hill Street Roseville NSW 2069,Roseville,NSW,2069,151.1770477,-33.78345108,2fdf6878-d778-ff11-13f1-a70c3c0bde2c,General practice service,GANSW705841055,GENERAL PRACTICE,2024-03-05
8,active,Doctors at Westland,24-26 Ekblom Street Whyalla Norrie SA 5608,Whyalla Norrie,SA,5608,137.53529,-33.03009,52d1b3b9-8794-ae59-c621-46fbf3127452,General practice service,GASA_425845102,GENERAL PRACTICE,2024-03-05
9,active,Pakenham Family Health,80 John Street Pakenham VIC 3810,Pakenham,VIC,3810,145.481308,-38.07830429,1232e2cb-cf4e-efca-48df-e4f797040792,General practice service,GAVIC424620951,GENERAL PRACTICE,2024-03-05
10,active,Dr Claire Rowe,153-154 Esplanade Coffin Bay SA 5607,Coffin Bay,SA,5607,135.4658272,-34.621859,58087b21-a996-4e20-a48c-467c08fdbe5e,General practice service,,GENERAL PRACTICE,2024-03-05
