State,Quarter,Broad Type of Service,MBS Bulk Billing Rate (%), Avg Patient Contribution Per Service ($)
Australia,2024-25 Q4 (Jun Qtr),Total Medicare,75.7%,88.68
NSW,2024-25 Q4 (Jun Qtr),Total Medicare,77.2%,96.49
NSW,2024-25 Q4 (Jun Qtr),Total Medicare,73.6%,107.33
NSW,2024-25 Q4 (Jun Qtr),Total Medicare,67.4%,103.69
NSW,2024-25 Q4 (Jun Qtr),Total Medicare,84.8%,108.17
NSW,2024-25 Q4 (Jun Qtr),Total Medicare,82.9%,99.73
NSW,2024-25 Q4 (Jun Qtr),Total Medicare,86.3%,106.33
NSW,2024-25 Q4 (Jun Qtr),Total Medicare,76.2%,86.24
NSW,2024-25 Q4 (Jun Qtr),Total Medicare,79.4%,90.20
NSW,2024-25 Q4 (Jun Qtr),Total Medicare,73.8%,83.45
NSW,2024-25 Q4 (Jun Qtr),Total Medicare,76.2%,79.77
NSW,2024-25 Q4 (Jun Qtr),Total Medicare,77.5%,87.62
Vic,2024-25 Q4 (Jun Qtr),Total Medicare,76.1%,87.40
Vic,2024-25 Q4 (Jun Qtr),Total Medicare,79.9%,91.40
Vic,2024-25 Q4 (Jun Qtr),Total Medicare,72.4%,87.67
Vic,2024-25 Q4 (Jun Qtr),Total Medicare,74.8%,92.37
Vic,2024-25 Q4 (Jun Qtr),Total Medicare,80.9%,79.08
Vic,2024-25 Q4 (Jun Qtr),Total Medicare,76.7%,76.08
Vic,2024-25 Q4 (Jun Qtr),Total Medicare,75.6%,78.59
Qld,2024-25 Q4 (Jun Qtr),Total Medicare,75.3%,86.04
Qld,2024-25 Q4 (Jun Qtr),Total Medicare,71.2%,87.01
Qld,2024-25 Q4 (Jun Qtr),Total Medicare,75.3%,88.28
Qld,2024-25 Q4 (Jun Qtr),Total Medicare,76.2%,90.12
Qld,2024-25 Q4 (Jun Qtr),Total Medicare,77.7%,84.61
Qld,2024-25 Q4 (Jun Qtr),Total Medicare,79.7%,90.71
Qld,2024-25 Q4 (Jun Qtr),Total Medicare,75.2%,81.12
Qld,2024-25 Q4 (Jun Qtr),Total Medicare,78.8%,83.44
SA,2024-25 Q4 (Jun Qtr),Total Medicare,73.8%,78.32
SA,2024-25 Q4 (Jun Qtr),Total Medicare,72.9%,78.48
SA,2024-25 Q4 (Jun Qtr),Total Medicare,76.2%,77.86
WA,2024-25 Q4 (Jun Qtr),Total Medicare,72.7%,82.20
WA,2024-25 Q4 (Jun Qtr),Total Medicare,70.2%,83.86
WA,2024-25 Q4 (Jun Qtr),Total Medicare,73.3%,80.22
WA,2024-25 Q4 (Jun Qtr),Total Medicare,77.2%,82.01
Tas,2024-25 Q4 (Jun Qtr),Total Medicare,74.8%,80.65
Tas,2024-25 Q4 (Jun Qtr),Total Medicare,74.8%,80.65
NT,2024-25 Q4 (Jun Qtr),Total Medicare,83.8%,80.52
NT,2024-25 Q4 (Jun Qtr),Total Medicare,83.8%,80.52
ACT,2024-25 Q4 (Jun Qtr),Total Medicare,65.5%,98.64
ACT,2024-25 Q4 (Jun Qtr),Total Medicare,65.5%,98.64
Unk,2024-25 Q4 (Jun Qtr),Total Medicare,95.8%,91.28
Unk,2024-25 Q4 (Jun Qtr),Total Medicare,95.8%,91.28
Australia,2024-25 Q4 (Jun Qtr),Total GP Non-Referred Attendances,79.2%,51.68
NSW,2024-25 Q4 (Jun Qtr),Total GP Non-Referred Attendances,83.4%,51.21
NSW,2024-25 Q4 (Jun Qtr),Total GP Non-Referred Attendances,78.3%,54.15
NSW,2024-25 Q4 (Jun Qtr),Total GP Non-Referred Attendances,73.1%,53.94
NSW,2024-25 Q4 (Jun Qtr),Total GP Non-Referred Attendances,93.4%,42.19
NSW,2024-25 Q4 (Jun Qtr),Total GP Non-Referred Attendances,91.2%,46.30
NSW,2024-25 Q4 (Jun Qtr),Total GP Non-Referred Attendances,94.2%,40.60
NSW,2024-25 Q4 (Jun Qtr),Total GP Non-Referred Attendances,79.7%,50.19
NSW,2024-25 Q4 (Jun Qtr),Total GP Non-Referred Attendances,83.0%,50.79
NSW,2024-25 Q4 (Jun Qtr),Total GP Non-Referred Attendances,76.0%,52.33
NSW,2024-25 Q4 (Jun Qtr),Total GP Non-Referred Attendances,82.3%,51.54
